id,id_eleve,id_matiere,note
1,1,1,12.0
2,1,2,1.0
3,1,3,4.0
4,1,4,18.5
5,1,5,0.5
6,1,6,18.5
7,1,7,10.5
8,1,8,8.0
9,2,1,9.0
10,2,2,10.5
11,2,3,15.0
12,2,4,16.0
13,2,5,18.0
14,2,6,14.0
15,2,7,10.0
16,2,8,5.5
17,3,1,17.5
18,3,2,12.5
19,3,3,14.5
20,3,4,7.0
21,3,5,10.5
22,3,6,1.0
23,3,7,2.5
24,3,8,18.0
25,4,1,11.5
26,4,2,9.5
27,4,3,11.5
28,4,4,4.5
29,4,5,13.5
30,4,6,19.5
31,4,7,14.0
32,4,8,16.5
33,4,11,15.5
34,5,1,4.0
35,5,2,7.5
36,5,3,18.0
37,5,4,14.0
38,5,5,4.0
39,5,6,8.5
40,5,7,4.5
41,5,8,5.5
42,6,1,18.0
43,6,2,16.0
44,6,3,9.0
45,6,4,7.0
46,6,5,4.5
47,6,6,15.5
48,6,7,5.5
49,6,8,15.0
50,7,1,15.5
51,7,2,19.5
52,7,3,2.5
53,7,4,11.0
54,7,5,3.0
55,7,6,18.5
56,7,7,20.0
57,7,9,8.5
58,8,1,18.5
59,8,2,18.0
60,8,3,13.0
61,8,4,2.5
62,8,5,10.0
63,8,6,1.0
64,8,7,3.5
65,8,8,7.5
66,9,1,0.5
67,9,2,11.5
68,9,3,10.0
69,9,4,6.0
70,9,5,3.5
71,9,6,6.0
72,9,7,13.5
73,9,8,16.5
74,9,12,12.5
75,10,1,15.5
76,10,2,6.0
77,10,3,14.0
78,10,4,19.5
79,10,5,12.0
80,10,6,14.0
81,10,7,10.5
82,11,1,1.0
83,11,2,18.5
84,11,3,12.5
85,11,4,2.0
86,11,5,18.5
87,11,6,10.0
88,11,7,15.5
89,11,8,7.0
90,12,1,3.5
91,12,2,16.0
92,12,3,19.0
93,12,4,16.0
94,12,5,1.0
95,12,6,2.5
96,12,7,5.0
97,12,8,12.5
98,13,1,11.5
99,13,2,1.5
100,13,3,19.0
101,13,4,14.0
102,13,5,17.5
103,13,6,14.0
104,13,7,4.0
105,13,8,6.0
106,14,1,2.5
107,14,2,17.0
108,14,3,12.5
109,14,4,15.0
110,14,5,17.0
111,14,6,3.0
112,14,7,6.0
113,14,8,13.5
114,14,11,18.5
115,15,1,16.5
116,15,2,19.0
117,15,3,7.5
118,15,4,4.5
119,15,5,19.5
120,15,6,16.0
121,15,7,10.0
122,15,9,17.0
123,16,1,4.5
124,16,2,6.0
125,16,3,8.0
126,16,4,17.5
127,16,5,8.0
128,16,6,9.0
129,16,7,17.5
130,16,8,5.5
131,17,1,13.5
132,17,2,3.5
133,17,3,16.5
134,17,4,8.5
135,17,5,8.5
136,17,6,1.5
137,17,7,12.5
138,17,8,4.5
139,18,1,10.5
140,18,2,6.5
141,18,3,1.0
142,18,4,17.5
143,18,5,12.0
144,18,6,8.5
145,18,7,9.5
146,18,8,16.5
147,19,1,17.5
148,19,2,1.0
149,19,3,14.5
150,19,4,13.0
151,19,5,5.0
152,19,6,8.0
153,19,7,1.5
154,19,9,4.5
155,19,8,14.5
156,20,1,10.5
157,20,2,19.5
158,20,3,4.5
159,20,4,3.5
160,20,5,5.5
161,20,6,17.5
162,20,7,3.5
163,21,1,6.5
164,21,2,16.5
165,21,3,4.0
166,21,4,12.5
167,21,5,4.5
168,21,6,4.5
